68884,"",""
36204,2014-03-04T00:00:00.000+05:30,3249
44716,2014-04-27T00:00:00.000+05:30,3249
46314,2014-05-08T00:00:00.000+05:30,3249
49070,2014-05-26T00:00:00.000+05:30,3249
65527,2014-05-16T00:00:00.000+05:30,3251
7099,2013-09-07T00:00:00.000+05:30,3252
31916,2014-02-07T00:00:00.000+05:30,3260
60186,2013-10-28T00:00:00.000+05:30,3260
18435,2013-11-15T00:00:00.000+05:30,3264
24552,2013-12-24T00:00:00.000+05:30,3275
44651,2014-04-27T00:00:00.000+05:30,3275
54549,2014-07-04T00:00:00.000+05:30,3275
62648,2014-01-27T00:00:00.000+05:30,3275
30301,2014-01-29T00:00:00.000+05:30,3281
41174,2014-04-04T00:00:00.000+05:30,3281
49857,2014-06-01T00:00:00.000+05:30,3283
15938,2013-11-03T00:00:00.000+05:30,3297
21936,2013-12-06T00:00:00.000+05:30,3297
32056,2014-02-08T00:00:00.000+05:30,3297
43132,2014-04-18T00:00:00.000+05:30,3297
8246,2013-09-14T00:00:00.000+05:30,3302
15313,2013-10-31T00:00:00.000+05:30,3302
42470,2014-04-12T00:00:00.000+05:30,3302
55146,2014-07-08T00:00:00.000+05:30,3305
66407,2014-06-18T00:00:00.000+05:30,3305
10969,2013-09-30T00:00:00.000+05:30,3306
63915,2014-03-17T00:00:00.000+05:30,3306
55804,2014-07-13T00:00:00.000+05:30,3317
34219,2014-02-20T00:00:00.000+05:30,3319
34374,2014-02-21T00:00:00.000+05:30,3319
35612,2014-03-01T00:00:00.000+05:30,3319
51585,2014-06-13T00:00:00.000+05:30,3319
54735,2014-07-05T00:00:00.000+05:30,3321
1273,2013-07-31T00:00:00.000+05:30,3322
13609,2013-10-17T00:00:00.000+05:30,3322
19428,2013-11-22T00:00:00.000+05:30,3322
38527,2014-03-19T00:00:00.000+05:30,3322
56761,2014-07-19T00:00:00.000+05:30,3322
26735,2014-01-06T00:00:00.000+05:30,3329
61195,2013-12-04T00:00:00.000+05:30,3329
6262,2013-09-02T00:00:00.000+05:30,3330
37655,2014-03-14T00:00:00.000+05:30,3334
33498,2014-02-16T00:00:00.000+05:30,3339
55200,2014-07-09T00:00:00.000+05:30,3339
41617,2014-04-08T00:00:00.000+05:30,3343
64316,2014-04-03T00:00:00.000+05:30,3343
68870,2014-06-26T00:00:00.000+05:30,3343
6714,2013-09-05T00:00:00.000+05:30,3346
17522,2013-11-11T00:00:00.000+05:30,3346
9591,2013-09-23T00:00:00.000+05:30,3349
12422,2013-10-09T00:00:00.000+05:30,3352
3417,2013-08-13T00:00:00.000+05:30,3354
4251,2013-08-19T00:00:00.000+05:30,3354
9558,2013-09-23T00:00:00.000+05:30,3354
62668,2014-01-28T00:00:00.000+05:30,3354
68872,2014-06-29T00:00:00.000+05:30,3354
13040,2013-10-13T00:00:00.000+05:30,3356
32268,2014-02-09T00:00:00.000+05:30,3356
30983,2014-02-01T00:00:00.000+05:30,3359
63339,2014-02-21T00:00:00.000+05:30,3359
14597,2013-10-25T00:00:00.000+05:30,3360
33569,2014-02-17T00:00:00.000+05:30,3360
11934,2013-10-06T00:00:00.000+05:30,3361
50111,2014-06-03T00:00:00.000+05:30,3361
37591,2014-03-13T00:00:00.000+05:30,3362
48615,2014-05-23T00:00:00.000+05:30,3368
49211,2014-05-28T00:00:00.000+05:30,3368
29815,2014-01-25T00:00:00.000+05:30,3373
59080,2013-09-15T00:00:00.000+05:30,3373
64652,2014-04-14T00:00:00.000+05:30,3373
29964,2014-01-27T00:00:00.000+05:30,3374
6184,2013-09-02T00:00:00.000+05:30,3379
8377,2013-09-15T00:00:00.000+05:30,3379
23463,2013-12-18T00:00:00.000+05:30,3379
47913,2014-05-17T00:00:00.000+05:30,3381
26728,2014-01-06T00:00:00.000+05:30,3383
12456,2013-10-09T00:00:00.000+05:30,3391
14854,2013-10-27T00:00:00.000+05:30,3391
26451,2014-01-05T00:00:00.000+05:30,3391
42806,2014-04-15T00:00:00.000+05:30,3391
16481,2013-11-05T00:00:00.000+05:30,3402
33159,2014-02-15T00:00:00.000+05:30,3402
41664,2014-04-08T00:00:00.000+05:30,3410
51713,2014-06-14T00:00:00.000+05:30,3410
15512,2013-11-01T00:00:00.000+05:30,3426
31044,2014-02-02T00:00:00.000+05:30,3426
21155,2013-12-02T00:00:00.000+05:30,3431
27800,2014-01-13T00:00:00.000+05:30,3431
859,2013-07-29T00:00:00.000+05:30,3432
46126,2014-05-07T00:00:00.000+05:30,3432
5763,2013-08-29T00:00:00.000+05:30,3433
41768,2014-04-08T00:00:00.000+05:30,3433
39743,2014-03-27T00:00:00.000+05:30,3435
44392,2014-04-26T00:00:00.000+05:30,3435
49953,2014-06-02T00:00:00.000+05:30,3435
56985,2014-07-20T00:00:00.000+05:30,3436
66689,2014-06-28T00:00:00.000+05:30,3436
31237,2014-02-03T00:00:00.000+05:30,3444
40786,2014-04-02T00:00:00.000+05:30,3444
54226,2014-07-02T00:00:00.000+05:30,3444
65518,2014-05-16T00:00:00.000+05:30,3445
66127,2014-06-09T00:00:00.000+05:30,3446
58179,2013-08-10T00:00:00.000+05:30,3447
59579,2013-10-03T00:00:00.000+05:30,3447
630,2013-07-28T00:00:00.000+05:30,3449
12353,2013-10-08T00:00:00.000+05:30,3464
13949,2013-10-20T00:00:00.000+05:30,3464
57653,2014-07-24T00:00:00.000+05:30,3464
4963,2013-08-24T00:00:00.000+05:30,3470
40891,2014-04-02T00:00:00.000+05:30,3470
5342,2013-08-26T00:00:00.000+05:30,3471
22270,2013-12-08T00:00:00.000+05:30,3471
26503,2014-01-05T00:00:00.000+05:30,3474
39388,2014-03-25T00:00:00.000+05:30,3478
16681,2013-11-06T00:00:00.000+05:30,3480
25213,2013-12-28T00:00:00.000+05:30,3480
14266,2013-10-23T00:00:00.000+05:30,3488
35872,2014-03-03T00:00:00.000+05:30,3488
13080,2013-10-13T00:00:00.000+05:30,3489
39955,2014-03-29T00:00:00.000+05:30,3489
61797,2013-12-26T00:00:00.000+05:30,3489
12366,2013-10-08T00:00:00.000+05:30,3502
58970,2013-09-10T00:00:00.000+05:30,3502
2614,2013-08-08T00:00:00.000+05:30,3505
40881,2014-04-02T00:00:00.000+05:30,3505
50861,2014-06-08T00:00:00.000+05:30,3507
11898,2013-10-06T00:00:00.000+05:30,3519
22680,2013-12-11T00:00:00.000+05:30,3519
24369,2013-12-23T00:00:00.000+05:30,3519
5939,2013-08-30T00:00:00.000+05:30,3525
63904,2014-03-17T00:00:00.000+05:30,3525
7637,2013-09-10T00:00:00.000+05:30,3527
22454,2013-12-10T00:00:00.000+05:30,3527
25297,2013-12-28T00:00:00.000+05:30,3527
41385,2014-04-05T00:00:00.000+05:30,3527
38347,2014-03-18T00:00:00.000+05:30,3532
64460,2014-04-07T00:00:00.000+05:30,3532
36248,2014-03-04T00:00:00.000+05:30,3534
48738,2014-05-24T00:00:00.000+05:30,3534
40939,2014-04-03T00:00:00.000+05:30,3537
58208,2013-08-11T00:00:00.000+05:30,3537
7107,2013-09-07T00:00:00.000+05:30,3543
7288,2013-09-08T00:00:00.000+05:30,3543
8861,2013-09-18T00:00:00.000+05:30,3543
13624,2013-10-17T00:00:00.000+05:30,3543
63566,2014-03-02T00:00:00.000+05:30,3543
36859,2014-03-08T00:00:00.000+05:30,3553
1154,2013-07-31T00:00:00.000+05:30,3554
11747,2013-10-05T00:00:00.000+05:30,3554
25400,2013-12-29T00:00:00.000+05:30,3554
49238,2014-05-28T00:00:00.000+05:30,3554
41159,2014-04-04T00:00:00.000+05:30,3556
45389,2014-05-02T00:00:00.000+05:30,3556
50083,2014-06-03T00:00:00.000+05:30,3556
61327,2013-12-10T00:00:00.000+05:30,3556
58060,2013-08-05T00:00:00.000+05:30,3559
5351,2013-08-26T00:00:00.000+05:30,3565
42845,2014-04-16T00:00:00.000+05:30,3565
59622,2013-10-05T00:00:00.000+05:30,3565
31793,2014-02-06T00:00:00.000+05:30,3568
60488,2013-11-09T00:00:00.000+05:30,3568
11026,2013-09-30T00:00:00.000+05:30,3576
13431,2013-10-15T00:00:00.000+05:30,3576
41256,2014-04-04T00:00:00.000+05:30,3576
63082,2014-02-12T00:00:00.000+05:30,3579
9465,2013-09-22T00:00:00.000+05:30,3581
23832,2013-12-20T00:00:00.000+05:30,3581
46997,2014-05-12T00:00:00.000+05:30,3581
19848,2013-11-24T00:00:00.000+05:30,3584
29002,2014-01-20T00:00:00.000+05:30,3587
67914,2013-12-17T00:00:00.000+05:30,3591
25191,2013-12-28T00:00:00.000+05:30,3595
48686,2014-05-23T00:00:00.000+05:30,3595
55684,2014-07-12T00:00:00.000+05:30,3595
53106,2014-06-25T00:00:00.000+05:30,3596
6716,2013-09-05T00:00:00.000+05:30,3597
41893,2014-04-09T00:00:00.000+05:30,3597
59348,2013-09-26T00:00:00.000+05:30,3597
52675,2014-06-20T00:00:00.000+05:30,3606
39747,2014-03-27T00:00:00.000+05:30,3607
911,2013-07-30T00:00:00.000+05:30,3608
6307,2013-09-02T00:00:00.000+05:30,3608
36123,2014-03-04T00:00:00.000+05:30,3612
61147,2013-12-03T00:00:00.000+05:30,3612
57249,2014-07-21T00:00:00.000+05:30,3618
67939,2013-12-24T00:00:00.000+05:30,3618
35301,2014-02-27T00:00:00.000+05:30,3619
53356,2014-06-26T00:00:00.000+05:30,3619
6451,2013-09-03T00:00:00.000+05:30,3621
51411,2014-06-12T00:00:00.000+05:30,3621
54048,2014-07-01T00:00:00.000+05:30,3630
28285,2014-01-15T00:00:00.000+05:30,3637
48577,2014-05-22T00:00:00.000+05:30,3637
61885,2013-12-31T00:00:00.000+05:30,3637
68304,2014-04-02T00:00:00.000+05:30,3637
8161,2013-09-14T00:00:00.000+05:30,3643
31546,2014-02-05T00:00:00.000+05:30,3643
38676,2014-03-20T00:00:00.000+05:30,3643
15671,2013-11-01T00:00:00.000+05:30,3648
47610,2014-05-16T00:00:00.000+05:30,3648
1737,2013-08-03T00:00:00.000+05:30,3653
16529,2013-11-05T00:00:00.000+05:30,3653
40449,2014-03-31T00:00:00.000+05:30,3653
56615,2014-07-18T00:00:00.000+05:30,3658
33235,2014-02-15T00:00:00.000+05:30,3664
47836,2014-05-17T00:00:00.000+05:30,3672
49670,2014-05-31T00:00:00.000+05:30,3672
25030,2013-12-26T00:00:00.000+05:30,3676
45071,2014-04-30T00:00:00.000+05:30,3676
66759,2014-06-30T00:00:00.000+05:30,3676
28972,2014-01-20T00:00:00.000+05:30,3684
1736,2013-08-03T00:00:00.000+05:30,3685
3270,2013-08-12T00:00:00.000+05:30,3685
21280,2013-12-03T00:00:00.000+05:30,3685
44600,2014-04-27T00:00:00.000+05:30,3685
59338,2013-09-26T00:00:00.000+05:30,3685
3758,2013-08-15T00:00:00.000+05:30,3691
45416,2014-05-02T00:00:00.000+05:30,3691
47449,2014-05-14T00:00:00.000+05:30,3691
12090,2013-10-06T00:00:00.000+05:30,3694
14067,2013-10-21T00:00:00.000+05:30,3694
55076,2014-07-08T00:00:00.000+05:30,3694
63801,2014-03-13T00:00:00.000+05:30,3694
67323,2014-07-22T00:00:00.000+05:30,3694
13126,2013-10-13T00:00:00.000+05:30,3699
30741,2014-01-31T00:00:00.000+05:30,3699
52833,2014-06-22T00:00:00.000+05:30,3704
3922,2013-08-17T00:00:00.000+05:30,3709
12499,2013-10-09T00:00:00.000+05:30,3709
13139,2013-10-13T00:00:00.000+05:30,3709
46455,2014-05-09T00:00:00.000+05:30,3712
46280,2014-05-07T00:00:00.000+05:30,3714
47546,2014-05-15T00:00:00.000+05:30,3714
48664,2014-05-23T00:00:00.000+05:30,3714
4242,2013-08-18T00:00:00.000+05:30,3724
38284,2014-03-18T00:00:00.000+05:30,3724
50973,2014-06-09T00:00:00.000+05:30,3724
3786,2013-08-16T00:00:00.000+05:30,3725
51917,2014-06-15T00:00:00.000+05:30,3725
52865,2014-06-22T00:00:00.000+05:30,3726
4513,2013-08-21T00:00:00.000+05:30,3727
18275,2013-11-14T00:00:00.000+05:30,3727
25985,2014-01-01T00:00:00.000+05:30,3727
64339,2014-04-03T00:00:00.000+05:30,3736
34680,2014-02-24T00:00:00.000+05:30,3738
2890,2013-08-10T00:00:00.000+05:30,3745
28333,2014-01-15T00:00:00.000+05:30,3745
25564,2013-12-30T00:00:00.000+05:30,3747
42341,2014-04-12T00:00:00.000+05:30,3747
11874,2013-10-05T00:00:00.000+05:30,3748
10663,2013-09-28T00:00:00.000+05:30,3754
33345,2014-02-16T00:00:00.000+05:30,3754
48413,2014-05-21T00:00:00.000+05:30,3754
51260,2014-06-11T00:00:00.000+05:30,3754
52130,2014-06-16T00:00:00.000+05:30,3756
21745,2013-12-05T00:00:00.000+05:30,3760
30381,2014-01-30T00:00:00.000+05:30,3760
2473,2013-08-07T00:00:00.000+05:30,3763
17306,2013-11-09T00:00:00.000+05:30,3763
34386,2014-02-21T00:00:00.000+05:30,3763
35687,2014-03-01T00:00:00.000+05:30,3763
42039,2014-04-10T00:00:00.000+05:30,3763
44405,2014-04-26T00:00:00.000+05:30,3763
52949,2014-06-23T00:00:00.000+05:30,3763
3069,2013-08-11T00:00:00.000+05:30,3764
27226,2014-01-10T00:00:00.000+05:30,3764
28263,2014-01-15T00:00:00.000+05:30,3764
24024,2013-12-21T00:00:00.000+05:30,3770
3713,2013-08-15T00:00:00.000+05:30,3772
34122,2014-02-19T00:00:00.000+05:30,3772
42133,2014-04-10T00:00:00.000+05:30,3772
47720,2014-05-16T00:00:00.000+05:30,3772
61232,2013-12-06T00:00:00.000+05:30,3778
11570,2013-10-04T00:00:00.000+05:30,3780
35667,2014-03-01T00:00:00.000+05:30,3780
59659,2013-10-06T00:00:00.000+05:30,3780
7736,2013-09-10T00:00:00.000+05:30,3785
9203,2013-09-21T00:00:00.000+05:30,3785
16024,2013-11-03T00:00:00.000+05:30,3785
45123,2014-04-30T00:00:00.000+05:30,3785
61655,2013-12-21T00:00:00.000+05:30,3785
58401,2013-08-19T00:00:00.000+05:30,3787
12196,2013-10-08T00:00:00.000+05:30,3793
31375,2014-02-04T00:00:00.000+05:30,3799
25948,2014-01-01T00:00:00.000+05:30,3800
36499,2014-03-06T00:00:00.000+05:30,3800
51043,2014-06-09T00:00:00.000+05:30,3800
54049,2014-07-01T00:00:00.000+05:30,3804
21377,2013-12-03T00:00:00.000+05:30,3813
33998,2014-02-19T00:00:00.000+05:30,3813
51826,2014-06-14T00:00:00.000+05:30,3813
61717,2013-12-24T00:00:00.000+05:30,3813
3219,2013-08-12T00:00:00.000+05:30,3817
38268,2014-03-18T00:00:00.000+05:30,3817
46948,2014-05-12T00:00:00.000+05:30,3819
37657,2014-03-14T00:00:00.000+05:30,3823
10443,2013-09-27T00:00:00.000+05:30,3826
21678,2013-12-05T00:00:00.000+05:30,3826
25924,2014-01-01T00:00:00.000+05:30,3826
32538,2014-02-11T00:00:00.000+05:30,3826
60120,2013-10-25T00:00:00.000+05:30,3826
4231,2013-08-18T00:00:00.000+05:30,3830
26023,2014-01-02T00:00:00.000+05:30,3830
43659,2014-04-21T00:00:00.000+05:30,3830
56355,2014-07-16T00:00:00.000+05:30,3830
31808,2014-02-07T00:00:00.000+05:30,3833
26222,2014-01-03T00:00:00.000+05:30,3835
27171,2014-01-10T00:00:00.000+05:30,3835
6878,2013-09-06T00:00:00.000+05:30,3841
41008,2014-04-03T00:00:00.000+05:30,3841
51495,2014-06-13T00:00:00.000+05:30,3841
57659,2014-07-24T00:00:00.000+05:30,3841
61639,2013-12-21T00:00:00.000+05:30,3841
14719,2013-10-26T00:00:00.000+05:30,3843
15053,2013-10-28T00:00:00.000+05:30,3843
18013,2013-11-13T00:00:00.000+05:30,3843
1305,2013-08-01T00:00:00.000+05:30,3844
29219,2014-01-21T00:00:00.000+05:30,3844
35672,2014-03-01T00:00:00.000+05:30,3846
31377,2014-02-04T00:00:00.000+05:30,3862
30233,2014-01-28T00:00:00.000+05:30,3865
36173,2014-03-04T00:00:00.000+05:30,3865
46419,2014-05-09T00:00:00.000+05:30,3865
56237,2014-07-15T00:00:00.000+05:30,3865
17562,2013-11-11T00:00:00.000+05:30,3866
39380,2014-03-25T00:00:00.000+05:30,3866
27710,2014-01-12T00:00:00.000+05:30,3870
5087,2013-08-24T00:00:00.000+05:30,3895
26863,2014-01-07T00:00:00.000+05:30,3895
32959,2014-02-13T00:00:00.000+05:30,3895
30006,2014-01-27T00:00:00.000+05:30,3911
43913,2014-04-23T00:00:00.000+05:30,3911
18138,2013-11-14T00:00:00.000+05:30,3915
46664,2014-05-10T00:00:00.000+05:30,3915
46191,2014-05-07T00:00:00.000+05:30,3916
46659,2014-05-10T00:00:00.000+05:30,3916
47285,2014-05-13T00:00:00.000+05:30,3916
8679,2013-09-18T00:00:00.000+05:30,3926
14526,2013-10-24T00:00:00.000+05:30,3926
43091,2014-04-18T00:00:00.000+05:30,3926
29430,2014-01-22T00:00:00.000+05:30,3930
54050,2014-07-01T00:00:00.000+05:30,3930
218,2013-07-26T00:00:00.000+05:30,3935
11475,2013-10-04T00:00:00.000+05:30,3935
24210,2013-12-22T00:00:00.000+05:30,3935
28559,2014-01-17T00:00:00.000+05:30,3935
4969,2013-08-24T00:00:00.000+05:30,3937
33557,2014-02-17T00:00:00.000+05:30,3937
61369,2013-12-12T00:00:00.000+05:30,3937
12698,2013-10-11T00:00:00.000+05:30,3940
65561,2014-05-17T00:00:00.000+05:30,3940
27884,2014-01-13T00:00:00.000+05:30,3941
29434,2014-01-22T00:00:00.000+05:30,3941
39232,2014-03-23T00:00:00.000+05:30,3941
45289,2014-05-02T00:00:00.000+05:30,3941
28369,2014-01-16T00:00:00.000+05:30,3944
38883,2014-03-22T00:00:00.000+05:30,3949
47933,2014-05-17T00:00:00.000+05:30,3949
52777,2014-06-21T00:00:00.000+05:30,3949
20168,2013-11-27T00:00:00.000+05:30,3955
15787,2013-11-02T00:00:00.000+05:30,3961
60113,2013-10-25T00:00:00.000+05:30,3961
62692,2014-01-29T00:00:00.000+05:30,3961
46305,2014-05-08T00:00:00.000+05:30,3964
14901,2013-10-27T00:00:00.000+05:30,3967
41086,2014-04-03T00:00:00.000+05:30,3967
10006,2013-09-25T00:00:00.000+05:30,3974
11895,2013-10-06T00:00:00.000+05:30,3980
28922,2014-01-20T00:00:00.000+05:30,3980
26797,2014-01-07T00:00:00.000+05:30,3987
42826,2014-04-16T00:00:00.000+05:30,3987
28917,2014-01-19T00:00:00.000+05:30,3994
3018,2013-08-10T00:00:00.000+05:30,3995
19216,2013-11-21T00:00:00.000+05:30,3995
34459,2014-02-22T00:00:00.000+05:30,3995
6675,2013-09-05T00:00:00.000+05:30,4007
16653,2013-11-06T00:00:00.000+05:30,4007
37166,2014-03-11T00:00:00.000+05:30,4007
52869,2014-06-22T00:00:00.000+05:30,4018
23973,2013-12-21T00:00:00.000+05:30,4019
66279,2014-06-13T00:00:00.000+05:30,4019
66310,2014-06-14T00:00:00.000+05:30,4019
21361,2013-12-03T00:00:00.000+05:30,4020
28706,2014-01-18T00:00:00.000+05:30,4020
15801,2013-11-03T00:00:00.000+05:30,4021
35105,2014-02-26T00:00:00.000+05:30,4023
26009,2014-01-02T00:00:00.000+05:30,4048
45853,2014-05-05T00:00:00.000+05:30,4048
59780,2013-10-12T00:00:00.000+05:30,4048
5072,2013-08-24T00:00:00.000+05:30,4050
13866,2013-10-19T00:00:00.000+05:30,4050
55516,2014-07-11T00:00:00.000+05:30,4050
3782,2013-08-16T00:00:00.000+05:30,4053
11127,2013-10-02T00:00:00.000+05:30,4053
37967,2014-03-15T00:00:00.000+05:30,4053
15664,2013-11-01T00:00:00.000+05:30,4064
3280,2013-08-12T00:00:00.000+05:30,4067
5258,2013-08-25T00:00:00.000+05:30,4067
7094,2013-09-07T00:00:00.000+05:30,4067
37482,2014-03-12T00:00:00.000+05:30,4077
61755,2013-12-25T00:00:00.000+05:30,4077
65722,2014-05-23T00:00:00.000+05:30,4077
9595,2013-09-23T00:00:00.000+05:30,4080
58243,2013-08-13T00:00:00.000+05:30,4081
4657,2013-08-22T00:00:00.000+05:30,4082
14961,2013-10-27T00:00:00.000+05:30,4082
26148,2014-01-03T00:00:00.000+05:30,4084
33388,2014-02-16T00:00:00.000+05:30,4084
55056,2014-07-08T00:00:00.000+05:30,4084
7535,2013-09-09T00:00:00.000+05:30,4093
50579,2014-06-07T00:00:00.000+05:30,4097
57564,2014-07-23T00:00:00.000+05:30,4097
45118,2014-04-30T00:00:00.000+05:30,4098
882,2013-07-30T00:00:00.000+05:30,4102
34497,2014-02-22T00:00:00.000+05:30,4102
23461,2013-12-18T00:00:00.000+05:30,4103
68211,2014-03-05T00:00:00.000+05:30,4115
48642,2014-05-23T00:00:00.000+05:30,4125
43176,2014-04-18T00:00:00.000+05:30,4128
49876,2014-06-02T00:00:00.000+05:30,4128
65301,2014-05-08T00:00:00.000+05:30,4128
9890,2013-09-25T00:00:00.000+05:30,4134
35107,2014-02-26T00:00:00.000+05:30,4134
39417,2014-03-25T00:00:00.000+05:30,4137
28874,2014-01-19T00:00:00.000+05:30,4145
39325,2014-03-24T00:00:00.000+05:30,4145
40197,2014-03-30T00:00:00.000+05:30,4156
54063,2014-07-01T00:00:00.000+05:30,4156
22424,2013-12-09T00:00:00.000+05:30,4168
61585,2013-12-19T00:00:00.000+05:30,4168
31374,2014-02-04T00:00:00.000+05:30,4175
45008,2014-04-29T00:00:00.000+05:30,4175
62849,2014-02-04T00:00:00.000+05:30,4175
38557,2014-03-20T00:00:00.000+05:30,4183
39887,2014-03-28T00:00:00.000+05:30,4183
26374,2014-01-04T00:00:00.000+05:30,4185
23488,2013-12-18T00:00:00.000+05:30,4189
27045,2014-01-09T00:00:00.000+05:30,4189
60462,2013-11-07T00:00:00.000+05:30,4197
30057,2014-01-27T00:00:00.000+05:30,4201
63860,2014-03-15T00:00:00.000+05:30,4201
64308,2014-04-02T00:00:00.000+05:30,4201
1628,2013-08-02T00:00:00.000+05:30,4203
1852,2013-08-03T00:00:00.000+05:30,4203
60651,2013-11-16T00:00:00.000+05:30,4203
15934,2013-11-03T00:00:00.000+05:30,4205
15594,2013-11-01T00:00:00.000+05:30,4207
33516,2014-02-16T00:00:00.000+05:30,4208
44662,2014-04-27T00:00:00.000+05:30,4208
14741,2013-10-26T00:00:00.000+05:30,4209
137,2013-07-26T00:00:00.000+05:30,4211
14696,2013-10-26T00:00:00.000+05:30,4211
1318,2013-08-01T00:00:00.000+05:30,4212
28329,2014-01-15T00:00:00.000+05:30,4212
43939,2014-04-23T00:00:00.000+05:30,4212
58231,2013-08-12T00:00:00.000+05:30,4212
64289,2014-04-02T00:00:00.000+05:30,4212
1856,2013-08-03T00:00:00.000+05:30,4220
39635,2014-03-26T00:00:00.000+05:30,4222
44975,2014-04-29T00:00:00.000+05:30,4222
9633,2013-09-23T00:00:00.000+05:30,4228
37248,2014-03-11T00:00:00.000+05:30,4228
38985,2014-03-22T00:00:00.000+05:30,4228
44682,2014-04-27T00:00:00.000+05:30,4236
3880,2013-08-17T00:00:00.000+05:30,4237
46871,2014-05-11T00:00:00.000+05:30,4237
58519,2013-08-23T00:00:00.000+05:30,4237
14690,2013-10-25T00:00:00.000+05:30,4238
15227,2013-10-30T00:00:00.000+05:30,4238
62374,2014-01-19T00:00:00.000+05:30,4238
63613,2014-03-04T00:00:00.000+05:30,4238
33468,2014-02-16T00:00:00.000+05:30,4245
30517,2014-01-30T00:00:00.000+05:30,4253
57800,2013-07-26T00:00:00.000+05:30,4253
7177,2013-09-07T00:00:00.000+05:30,4255
27938,2014-01-14T00:00:00.000+05:30,4255
48421,2014-05-21T00:00:00.000+05:30,4255
26284,2014-01-03T00:00:00.000+05:30,4256
2280,2013-08-06T00:00:00.000+05:30,4261
45082,2014-04-30T00:00:00.000+05:30,4261
46995,2014-05-12T00:00:00.000+05:30,4261
57119,2014-07-20T00:00:00.000+05:30,4261
42877,2014-04-16T00:00:00.000+05:30,4265
26278,2014-01-03T00:00:00.000+05:30,4271
19770,2013-11-24T00:00:00.000+05:30,4272
48571,2014-05-22T00:00:00.000+05:30,4272
60663,2013-11-16T00:00:00.000+05:30,4272
64585,2014-04-12T00:00:00.000+05:30,4272
9414,2013-09-22T00:00:00.000+05:30,4275
23290,2013-12-16T00:00:00.000+05:30,4275
30398,2014-01-30T00:00:00.000+05:30,4277
50505,2014-06-06T00:00:00.000+05:30,4289
51072,2014-06-09T00:00:00.000+05:30,4289
53489,2014-06-27T00:00:00.000+05:30,4289
57871,2013-07-29T00:00:00.000+05:30,4289
68176,2014-02-24T00:00:00.000+05:30,4289
5011,2013-08-24T00:00:00.000+05:30,4316
60441,2013-11-07T00:00:00.000+05:30,4316
59329,2013-09-25T00:00:00.000+05:30,4319
42637,2014-04-14T00:00:00.000+05:30,4326
52545,2014-06-19T00:00:00.000+05:30,4328
4782,2013-08-23T00:00:00.000+05:30,4335
9968,2013-09-25T00:00:00.000+05:30,4335
47563,2014-05-15T00:00:00.000+05:30,4335
23906,2013-12-20T00:00:00.000+05:30,4336
37494,2014-03-12T00:00:00.000+05:30,4336
40059,2014-03-30T00:00:00.000+05:30,4336
18343,2013-11-15T00:00:00.000+05:30,4337
50512,2014-06-07T00:00:00.000+05:30,4337
29668,2014-01-24T00:00:00.000+05:30,4346
10700,2013-09-28T00:00:00.000+05:30,4353
10830,2013-09-29T00:00:00.000+05:30,4353
26553,2014-01-05T00:00:00.000+05:30,4353
35928,2014-03-03T00:00:00.000+05:30,4353
52153,2014-06-17T00:00:00.000+05:30,4353
54774,2014-07-06T00:00:00.000+05:30,4355
35733,2014-03-01T00:00:00.000+05:30,4362
37321,2014-03-12T00:00:00.000+05:30,4362
46113,2014-05-07T00:00:00.000+05:30,4369
52345,2014-06-18T00:00:00.000+05:30,4369
23574,2013-12-18T00:00:00.000+05:30,4374
43773,2014-04-22T00:00:00.000+05:30,4374
55387,2014-07-10T00:00:00.000+05:30,4374
32480,2014-02-10T00:00:00.000+05:30,4378
39560,2014-03-26T00:00:00.000+05:30,4378
26925,2014-01-08T00:00:00.000+05:30,4380
6414,2013-09-03T00:00:00.000+05:30,4381
52648,2014-06-20T00:00:00.000+05:30,4381
52974,2014-06-23T00:00:00.000+05:30,4381
57143,2014-07-20T00:00:00.000+05:30,4381
67938,2013-12-24T00:00:00.000+05:30,4381
28873,2014-01-19T00:00:00.000+05:30,4391
43725,2014-04-22T00:00:00.000+05:30,4391
45559,2014-05-03T00:00:00.000+05:30,4391
67181,2014-07-16T00:00:00.000+05:30,4391
3701,2013-08-15T00:00:00.000+05:30,4396
21847,2013-12-06T00:00:00.000+05:30,4396
13444,2013-10-15T00:00:00.000+05:30,4402
42282,2014-04-11T00:00:00.000+05:30,4402
44254,2014-04-25T00:00:00.000+05:30,4402
56370,2014-07-16T00:00:00.000+05:30,4402
36435,2014-03-05T00:00:00.000+05:30,4403
52160,2014-06-17T00:00:00.000+05:30,4403
59489,2013-10-01T00:00:00.000+05:30,4403
6301,2013-09-02T00:00:00.000+05:30,4418
15881,2013-11-03T00:00:00.000+05:30,4418
5993,2013-08-31T00:00:00.000+05:30,4422
9344,2013-09-22T00:00:00.000+05:30,4422
66626,2014-06-25T00:00:00.000+05:30,4422
62924,2014-02-07T00:00:00.000+05:30,4436
64805,2014-04-19T00:00:00.000+05:30,4436
17012,2013-11-08T00:00:00.000+05:30,4440
25584,2013-12-30T00:00:00.000+05:30,4440
66481,2014-06-20T00:00:00.000+05:30,4440
31813,2014-02-07T00:00:00.000+05:30,4443
43168,2014-04-18T00:00:00.000+05:30,4443
51039,2014-06-09T00:00:00.000+05:30,4443
53493,2014-06-27T00:00:00.000+05:30,4443
35408,2014-02-28T00:00:00.000+05:30,4447
